Date,Open,High,Low,Close,Volume
06-Jan-12,4724.15,4794.9,4686.85,4754.1,176057282
07-Jan-12,4755.6,4759.4,4743.05,4746.9,18783880
09-Jan-12,4747.55,4758.7,4695.45,4742.8,147534537
10-Jan-12,4771.85,4855.9,4768.25,4849.55,201661174
11-Jan-12,4863.15,4877.2,4841.6,4860.95,209079758
12-Jan-12,4840.95,4869.2,4803.9,4831.25,183068697
13-Jan-12,4861.95,4898.85,4834.2,4866,230940604
16-Jan-12,4844,4880.8,4827.05,4873.9,160479891
17-Jan-12,4904.5,4975.55,4904,4967.3,223004183
18-Jan-12,4977.75,4980.65,4931.05,4955.8,211198796
19-Jan-12,4995,5023.8,4991.4,5018.4,203487608
20-Jan-12,5044.85,5064.15,5004.3,5048.6,221048007
23-Jan-12,5025.35,5059.55,5021.35,5046.25,158177571
24-Jan-12,5064.8,5141.05,5049.8,5127.35,202006565
25-Jan-12,5151.5,5174.15,5130.25,5158.3,219175709
27-Jan-12,5216.75,5217,5162.4,5204.7,215923377
30-Jan-12,5163.55,5166.15,5076.7,5087.3,181141437
31-Jan-12,5125.25,5215.4,5120.15,5199.25,215770719
01-Feb-12,5198.15,5244.6,5159,5235.7,234899358
02-Feb-12,5272.1,5289.95,5225.75,5269.9,337960651
03-Feb-12,5276.1,5334.85,5255.55,5325.85,217358188
06-Feb-12,5379.45,5390.05,5327.25,5361.65,215080487
07-Feb-12,5412.95,5413.35,5322.95,5335.15,181194561
08-Feb-12,5343.8,5396.9,5325.2,5368.15,236135416
09-Feb-12,5343.05,5423.4,5338.9,5412.35,255306965
10-Feb-12,5399.8,5427.75,5341.05,5381.6,225352093
13-Feb-12,5382.1,5421.05,5351.4,5390.2,181561910
14-Feb-12,5380.8,5428.05,5377.95,5416.05,201409996
15-Feb-12,5460.6,5542.1,5460.6,5531.95,314366096
16-Feb-12,5513.75,5531.4,5483.75,5521.95,270060477
17-Feb-12,5574.2,5606.7,5545.2,5564.3,329307516
21-Feb-12,5561.9,5621.5,5561.75,5607.15,231132126
22-Feb-12,5609.75,5629.95,5491.35,5505.35,263013427
23-Feb-12,5490.05,5537.4,5460.8,5483.3,307246519
24-Feb-12,5479.15,5521.4,5405.9,5429.3,364660634
27-Feb-12,5448.1,5449.8,5268.15,5281.2,235318961
28-Feb-12,5310.5,5391.1,5306.45,5375.5,208133889
29-Feb-12,5424.95,5458.8,5352.25,5385.2,226022232
01-Mar-12,5366,5372.45,5297.5,5339.75,196867905
02-Mar-12,5369.45,5392.55,5315.05,5359.35,185021526
03-Mar-12,5360.05,5369.6,5353.4,5359.4,16770991
05-Mar-12,5342.55,5344.5,5265.7,5280.35,196421155
06-Mar-12,5266,5382.05,5206.4,5222.4,290396014
07-Mar-12,5207.05,5243.85,5171.45,5220.45,230726017
09-Mar-12,5294.1,5342.3,5291.6,5333.55,203005845
12-Mar-12,5420.1,5421.9,5327.3,5359.55,176668237
13-Mar-12,5391.05,5438.65,5390.8,5429.5,179965296
14-Mar-12,5490.55,5499.4,5437.8,5463.9,181714070
15-Mar-12,5462.5,5462.5,5362.3,5380.5,160257651
16-Mar-12,5380.35,5445.65,5305,5317.9,267521147
19-Mar-12,5337.35,5340.7,5238.55,5257.05,179877454
20-Mar-12,5257.15,5297.35,5233.25,5274.85,181345285
21-Mar-12,5267.2,5372.35,5256,5364.95,199787985
22-Mar-12,5361.1,5385.95,5205.65,5228.45,205581062
23-Mar-12,5255.65,5312,5220,5278.2,172738574
26-Mar-12,5274.35,5274.95,5174.9,5184.25,169785835
27-Mar-12,5242.95,5277.95,5184.65,5243.15,208775421
28-Mar-12,5231.7,5236.55,5169.6,5194.75,145803597
29-Mar-12,5145.95,5194.3,5135.95,5178.85,242557889
30-Mar-12,5206.6,5307.1,5203.65,5295.55,164790056
02-Apr-12,5296.35,5331.55,5278.8,5317.9,134538287
03-Apr-12,5353.2,5378.75,5344.45,5358.5,152496489
04-Apr-12,5328.65,5338.4,5305.3,5322.9,122106162
09-Apr-12,5282.5,5287.9,5228,5234.4,111914936
10-Apr-12,5254.1,5255.8,5211.85,5243.6,156106794
11-Apr-12,5209.45,5263.65,5190.8,5226.85,167013527
12-Apr-12,5246.75,5290.6,5246.75,5276.85,152684788
13-Apr-12,5255.7,5306.75,5185.4,5207.45,164225858
16-Apr-12,5190.6,5233.5,5183.5,5226.2,119730347
17-Apr-12,5266.6,5298.2,5208.35,5289.7,178895417
18-Apr-12,5320.7,5342,5293.45,5300,152743439
19-Apr-12,5320.6,5342.45,5291.3,5332.4,133549895
20-Apr-12,5313.95,5336.15,5245.45,5290.85,135252751
23-Apr-12,5277.4,5310.55,5187.15,5200.6,138042341
24-Apr-12,5215.9,5232.35,5180.35,5222.65,155674654
25-Apr-12,5222.2,5236.1,5160.65,5202,142910739
26-Apr-12,5214.75,5215.6,5179.05,5189,185899437
27-Apr-12,5189,5223.05,5154.3,5190.6,128759445
28-Apr-12,5209.6,5216.4,5196.35,5209,6555703
30-Apr-12,5201.45,5262.15,5201.45,5248.15,108138550
02-May-12,5254.3,5279.6,5226.45,5239.15,119333288
03-May-12,5211.2,5217.3,5180.65,5188.4,118573998
04-May-12,5166.65,5177.2,5070.6,5086.85,153304687
07-May-12,5017.8,5124.75,4988,5114.15,168271798
08-May-12,5114.7,5119.95,4983.6,4999.95,164262546
09-May-12,4967.9,5016.25,4956.45,4974.8,180441209
10-May-12,4984.15,5039.3,4950.3,4965.7,141031231
11-May-12,4938.85,4976.25,4906.15,4928.9,138526070
14-May-12,4934.35,4957.2,4874.5,4907.8,126951751
15-May-12,4869.85,4955.2,4868.55,4942.8,142119571
16-May-12,4875.3,4882.25,4837.05,4858.25,165048505
17-May-12,4878.6,4922.25,4850.2,4870.2,155654031
18-May-12,4796.4,4908.5,4788.95,4891.45,154508649
21-May-12,4888.5,4937.5,4888.5,4906.05,116506971
22-May-12,4954.7,4956.35,4849.9,4860.5,130808278
23-May-12,4843,4853.75,4803.95,4835.65,136108067
24-May-12,4863.4,4931.9,4830.15,4921.4,140474832
25-May-12,4905.95,4935.8,4889.35,4920.4,118191157
28-May-12,4931.7,4994.95,4931.3,4985.65,97260991
29-May-12,5005.35,5020.15,4982.15,4990.1,124219839
30-May-12,4964.25,4982.25,4944.9,4950.75,146005250
31-May-12,4896.1,4949.25,4883.55,4924.25,296911390
01-Jun-12,4910.85,4925,4831.75,4841.6,138767416
04-Jun-12,4797.3,4858.3,4770.35,4848.15,152339865
05-Jun-12,4869.45,4898.95,4847.7,4863.3,141476962
06-Jun-12,4886.65,5010.45,4886.15,4997.1,185340406
07-Jun-12,5035.35,5059.65,5007.75,5049.65,150558164
08-Jun-12,5044.25,5084.45,4994.8,5068.35,138389395
11-Jun-12,5096.7,5124.45,5040.7,5054.1,125615102
12-Jun-12,5015.5,5128.9,5015.15,5115.9,135478015
13-Jun-12,5117.55,5144.9,5095.45,5121.45,125668126
14-Jun-12,5105.1,5130,5047.6,5054.75,118353366
15-Jun-12,5069.55,5146.2,5069.15,5139.05,155437144
18-Jun-12,5174,5190.2,5041.7,5064.25,153461067
19-Jun-12,5050.8,5113.6,5048.1,5103.85,149416155
20-Jun-12,5114.55,5141.7,5100.7,5120.55,160505645
21-Jun-12,5097.35,5170.4,5093.45,5165,142992948
22-Jun-12,5101.75,5159.8,5094,5146.05,159747192
25-Jun-12,5158.5,5194.6,5105.65,5114.65,123503010
26-Jun-12,5107.45,5134.55,5095.5,5120.8,99404566
27-Jun-12,5149.45,5160.1,5129.25,5141.9,112269218
28-Jun-12,5148.95,5159.05,5125.3,5149.15,143073791
29-Jun-12,5191.25,5286.25,5189,5278.9,226523598
02-Jul-12,5283.85,5302.15,5263.35,5278.6,126161441
03-Jul-12,5298.85,5317,5265.95,5287.95,133117055
04-Jul-12,5310.4,5317.65,5273.3,5302.55,155995887
05-Jul-12,5297.05,5333.65,5288.85,5327.3,118915392
06-Jul-12,5324.7,5327.2,5287.75,5316.95,113300726
09-Jul-12,5283.7,5300.6,5257.75,5275.15,101169926
10-Jul-12,5286.6,5348.55,5284.55,5345.35,123947633
11-Jul-12,5315.25,5336.45,5300.25,5306.3,113530679
12-Jul-12,5240,5261.75,5217.7,5235.25,131190833
13-Jul-12,5242.75,5267.15,5216.85,5227.25,99045088
16-Jul-12,5232.35,5246.85,5190.45,5197.25,106313144
17-Jul-12,5228.05,5236.7,5181.7,5192.85,111768115
18-Jul-12,5199.1,5222.85,5169.05,5216.3,109647297
19-Jul-12,5249.85,5257.75,5233.15,5242.7,109769282
20-Jul-12,5233.55,5238.7,5197.5,5205.1,89729408
23-Jul-12,5163.25,5164.2,5108.1,5117.95,104770324
24-Jul-12,5128.8,5144,5103.25,5128.2,116516931
25-Jul-12,5118.4,5121.6,5076.6,5109.6,130965621
26-Jul-12,5126.3,5126.3,5032.4,5043,180131639
27-Jul-12,5124.3,5149.95,5077.5,5099.85,131948378
30-Jul-12,5129.75,5206.6,5129.75,5199.8,117523733
31-Jul-12,5214.85,5234.55,5154.05,5229,147059808
01-Aug-12,5220.7,5246.35,5212.65,5240.5,113815730
02-Aug-12,5233.1,5236.9,5209.95,5227.75,92972386
03-Aug-12,5195.6,5220.2,5164.65,5215.7,112918653
06-Aug-12,5260.85,5293.2,5260.85,5282.55,103148076
07-Aug-12,5295.4,5350.1,5281.65,5336.7,130431591
08-Aug-12,5345.25,5377.6,5331.05,5338,165954895
09-Aug-12,5348.3,5368.2,5312.1,5322.95,181419777
10-Aug-12,5308.2,5330.1,5294.1,5320.4,130090985
13-Aug-12,5316.35,5352.45,5309.05,5347.9,107578773
14-Aug-12,5343.25,5387.05,5328.8,5380.35,109794400
16-Aug-12,5385.95,5390.65,5356.65,5362.95,133996943
17-Aug-12,5368.6,5399.95,5341.7,5366.3,134985473
21-Aug-12,5368.7,5425.15,5368.7,5421,124343357
22-Aug-12,5395.75,5433.35,5394.8,5412.85,103103501
23-Aug-12,5426.15,5448.6,5393.85,5415.35,127995889
24-Aug-12,5392.6,5399.65,5371,5386.7,114346965
27-Aug-12,5387.85,5399.15,5346.65,5350.25,89987572
28-Aug-12,5348.05,5359.25,5312.6,5334.6,123683723
29-Aug-12,5343.85,5345.5,5282.7,5287.8,157470632
30-Aug-12,5268.6,5342.8,5255.05,5315.05,226494000
31-Aug-12,5298.2,5303.25,5238.9,5258.5,167393902
03-Sep-12,5276.5,5295.8,5243.15,5253.75,110380869
04-Sep-12,5249.15,5278.35,5233.2,5274,106316880
05-Sep-12,5243.9,5259.5,5215.7,5225.7,126162071
06-Sep-12,5217.65,5260.6,5217.65,5238.4,134008569
07-Sep-12,5309.45,5347.15,5309.2,5342.1,149584722
08-Sep-12,5343.65,5366.3,5343.45,5358.7,11221064
10-Sep-12,5361.9,5375.45,5349.1,5363.45,109607506
11-Sep-12,5336.1,5393.35,5332.1,5390,112878090
12-Sep-12,5404.45,5435.55,5393.95,5431,139920871
13-Sep-12,5435.2,5447.45,5421.85,5435.35,110774177
14-Sep-12,5528.35,5586.65,5526.95,5577.65,233783031
17-Sep-12,5631.75,5652.2,5585.15,5610,258912780
18-Sep-12,5602.4,5620.55,5586.45,5600.05,175488961
20-Sep-12,5536.95,5581.35,5534.9,5554.25,165684942
21-Sep-12,5577,5720,5575.45,5691.15,278023825
24-Sep-12,5691.95,5709.85,5662.75,5669.6,210419441
25-Sep-12,5674.9,5702.7,5652.45,5673.9,341387116
26-Sep-12,5653.4,5672.8,5638.65,5663.45,170771069
27-Sep-12,5673.75,5693.7,5639.7,5649.5,238991690
28-Sep-12,5684.8,5735.15,5683.45,5703.3,163660805
01-Oct-12,5704.75,5722.95,5694,5718.8,123138510
03-Oct-12,5727.7,5743.25,5715.8,5731.25,165037864
04-Oct-12,5751.55,5807.25,5751.35,5787.6,171404290
05-Oct-12,5815,5815.35,4888.2,5746.95,255569804
08-Oct-12,5751.85,5751.85,5666.2,5676,142319000
09-Oct-12,5708.15,5728.65,5677.9,5704.6,119300415
10-Oct-12,5671.15,5686.5,5647.05,5652.15,126294361
11-Oct-12,5663.5,5721.1,5636.95,5708.05,148283847
12-Oct-12,5681.7,5725,5659.35,5676.05,130076802
15-Oct-12,5674.25,5693.7,5651.05,5687.25,93693482
